Dependents,Tenure Months,Paperless Billing,Monthly Charges,Total Charges,Avg_Monthly_Charge,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Device Protection_No internet service,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming Movies_No internet service,Contract_One year,Contract_Two year,Payment Method_Electronic check,Tenure_Group_5-6yr,Churn Value
-0.5480932437464201,-1.2367242199587352,0.8297975015331794,-0.3626603559551803,-0.9580659010627455,-0.3509658683858858,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.8245070732210271,-1.2367242199587352,0.8297975015331794,0.19736523310080326,-0.9388744441030343,0.36760245467406755,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,-0.9924020376385531,0.8297975015331794,1.1595456961969886,-0.6437892489880273,1.2509459276770791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,-0.1779947632379461,0.8297975015331794,1.330710787214099,0.33808539553347106,1.4566051373804447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,0.6771328748826912,0.8297975015331794,1.2941512532104444,1.2161496993050833,1.2581855498857173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.5480932437464201,-0.9109613101984924,-1.2051132934870794,-0.31779183695069496,-0.7726808386611219,-0.39193252220631536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.5480932437464201,-1.2774445836787656,0.8297975015331794,-0.8346107040023594,-0.988286930987808,-0.8275335952888665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.5480932437464201,-1.2774445836787656,-1.2051132934870794,-1.4827115340671475,-0.9968899979007819,-1.4717672642391695,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
1.8245070732210271,0.5956921474426305,0.8297975015331794,1.1495749141959914,1.0894640242250588,1.2008359356691196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.5480932437464201,-1.2774445836787656,-1.2051132934870794,-1.1486903370337564,-0.9924561095687108,-1.1397391425493977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
-0.5480932437464201,-0.62591876415828,0.8297975015331794,-0.0020504069191315333,-0.5235227853738373,-0.013156162487586068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.8245070732210271,-1.1145631287986442,0.8297975015331794,0.16412929309748078,-0.8659689668020626,-0.0435507766124207,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,0.06632741908223598,0.8297975015331794,1.3822264942192488,0.5600886401800608,1.3113124686778899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,-0.8702409464784621,0.8297975015331794,1.099721004191008,-0.5180962354748845,1.18250548603976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.8245070732210271,-1.2367242199587352,0.8297975015331794,0.5280628361338618,-0.9421833159926397,0.24371136449131697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,-0.7073594915983407,0.8297975015331794,1.141265929195161,-0.37647651859977455,1.0041824073864134,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.8245070732210271,-0.9924020376385531,0.8297975015331794,0.5280628361338618,-0.7263786913525774,0.4778655249367153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.8245070732210271,-0.5851984004382496,0.8297975015331794,1.0199547481830342,-0.2325847096938023,1.0791961682126212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,-0.9516816739185228,-1.2051132934870794,0.9850570111795457,-0.6275757767289609,1.0093583018207155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,-1.2774445836787656,0.8297975015331794,0.48485611412954227,-0.9707719691188302,0.48406007944585283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1.8245070732210271,-1.0331224013585834,0.8297975015331794,0.34526516611558833,-0.7865560414515337,0.20772395258108917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
